line_no,frame_index,trace_layer,event,request_id,source_node,target_node,tb_size,subchannel_start,subchannel_num,slot,harq_id,sinr,tbler,reason,raw_event,timestamp,area_id,upload_type,plan_index,pkt_id,matched
450,1,PHY,PSSCH_DECODE_OK,68,2,1,4069,,,,1,37.006,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=68 txRnti=2 sender_l2_id=2 receiver_l2_id=1 harq_id=1 tb_size=4069 tbler=0 sinr=37.006 sinrMin=28.1006 reason=,000062,14_1,leader_to_rsu,68,68,1
451,1,HARQ,HARQ_ACK,68,2,1,,,,,1,,,,[NRSL_HARQ_EVENT] event=HARQ_ACK request_ids=68 txRnti=2 sender_l2_id=2 receiver_l2_id=1 rxRnti=1 harq_id=1 bwp_id=0,000062,14_1,leader_to_rsu,68,68,1
453,1,PHY,PSSCH_DECODE_FAIL,76,16,5,4069,,,,0,10.0637,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=76 txRnti=16 sender_l2_id=16 receiver_l2_id=5 harq_id=0 tb_size=4069 tbler=1 sinr=10.0637 sinrMin=6.08603 reason=decode_fail,000062,18_7,member_to_leader,76,76,1
454,1,HARQ,HARQ_NACK,76,16,5,,,,,0,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=76 txRnti=16 sender_l2_id=16 receiver_l2_id=5 rxRnti=5 harq_id=0 bwp_id=0,000062,18_7,member_to_leader,76,76,1
602,1,PHY,PSSCH_DECODE_FAIL,86,14,9,4069,,,,1,7.42046,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=86 txRnti=14 sender_l2_id=14 receiver_l2_id=9 harq_id=1 tb_size=4069 tbler=1 sinr=7.42046 sinrMin=2.29256 reason=decode_fail,000062,12_10,member_to_leader,86,86,1
603,1,HARQ,HARQ_NACK,86,14,9,,,,,1,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=86 txRnti=14 sender_l2_id=14 receiver_l2_id=9 rxRnti=9 harq_id=1 bwp_id=0,000062,12_10,member_to_leader,86,86,1
727,1,PHY,PSSCH_DECODE_FAIL,64,17,1,2083,,,,0,2.40252,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=64 txRnti=17 sender_l2_id=17 receiver_l2_id=1 harq_id=0 tb_size=2083 tbler=1 sinr=2.40252 sinrMin=0.976877 reason=decode_fail,000062,12_9,leader_to_rsu,64,64,1
728,1,HARQ,HARQ_NACK,64,17,1,,,,,0,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=64 txRnti=17 sender_l2_id=17 receiver_l2_id=1 rxRnti=1 harq_id=0 bwp_id=0,000062,12_9,leader_to_rsu,64,64,1
730,1,PHY,PSSCH_DECODE_FAIL,86,14,9,4069,,,,4,3.80514,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=86 txRnti=14 sender_l2_id=14 receiver_l2_id=9 harq_id=4 tb_size=4069 tbler=1 sinr=3.80514 sinrMin=0.244544 reason=decode_fail,000062,12_10,member_to_leader,86,86,1
731,1,HARQ,HARQ_NACK,86,14,9,,,,,4,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=86 txRnti=14 sender_l2_id=14 receiver_l2_id=9 rxRnti=9 harq_id=4 bwp_id=0,000062,12_10,member_to_leader,86,86,1
858,1,PHY,PSSCH_DECODE_FAIL,67,13,1,2083,,,,0,0.504588,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=67 txRnti=13 sender_l2_id=13 receiver_l2_id=1 harq_id=0 tb_size=2083 tbler=1 sinr=0.504588 sinrMin=0.240161 reason=sci2_decode_fail,000062,13_0,leader_to_rsu,67,67,1
1124,1,PHY,PSSCH_DECODE_FAIL,79,3,1,4069,,,,0,0.254605,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=79 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=0 tb_size=4069 tbler=1 sinr=0.254605 sinrMin=0.183667 reason=sci2_decode_fail,000062,12_4,leader_to_rsu,79,79,1
