scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000060,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2,2,"{""2"": 12}","{""1"": 13948, ""2"": 3847}",61552,34.23359288097887,10,40.0,60.0,5.0,62500,529536,61552,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0,,24,45,
2026_07_29_02_32_08,000060,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10,,{},"{""10"": 14073}",0,0.0,10,40.0,60.0,5.0,62500,529536,61552,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,20,36,
2026_07_29_02_32_08,000060,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12,,{},"{""12"": 13881}",0,0.0,10,40.0,60.0,5.0,62500,529536,61552,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,17,41,
2026_07_29_02_32_08,000060,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13,,{},"{""13"": 13569}",0,0.0,10,40.0,60.0,5.0,62500,529536,61552,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,4,18,
2026_07_29_02_32_08,000060,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15,,{},"{""15"": 13458}",0,0.0,10,40.0,60.0,5.0,62500,529536,61552,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,17,21,
2026_07_29_02_32_08,000060,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16,,{},"{""16"": 13819}",0,0.0,10,40.0,60.0,5.0,62500,529536,61552,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,18,32,
2026_07_29_02_32_08,000060,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17,,{},"{""17"": 14142}",0,0.0,10,40.0,60.0,5.0,62500,529536,61552,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,11,18,
2026_07_29_02_32_08,000062,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2,2,"{""2"": 12}","{""1"": 13948, ""2"": 3900}",62400,34.705228031145715,10,40.0,60.0,5.0,62500,531040,62400,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0,,24,45,
2026_07_29_02_32_08,000062,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10,,{},"{""10"": 14074}",0,0.0,10,40.0,60.0,5.0,62500,531040,62400,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,20,34,
2026_07_29_02_32_08,000062,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12,,{},"{""12"": 13882}",0,0.0,10,40.0,60.0,5.0,62500,531040,62400,5.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,18,39,
