line_no,frame_index,trace_layer,event,request_id,source_node,target_node,tb_size,subchannel_start,subchannel_num,slot,harq_id,sinr,tbler,reason,raw_event,timestamp,area_id,upload_type,plan_index,pkt_id,matched
1079,0,PHY,PSSCH_DECODE_OK,6,20,2,275,,,,7,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=6 txRnti=20 sender_l2_id=20 receiver_l2_id=2 harq_id=7 tb_size=275 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,member_to_leader,6,6,1
1081,0,PHY,PSSCH_DECODE_OK,3,5,16,400,,,,7,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=3 txRnti=5 sender_l2_id=5 receiver_l2_id=16 harq_id=7 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,member_to_leader,3,3,1
1083,0,PHY,PSSCH_DECODE_OK,1,14,17,400,,,,7,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=1 txRnti=14 sender_l2_id=14 receiver_l2_id=17 harq_id=7 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,member_to_leader,1,1,1
1174,0,PHY,PSSCH_DECODE_OK,9,3,1,400,,,,8,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=9 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=8 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,leader_to_rsu,9,9,1
1176,0,PHY,PSSCH_DECODE_OK,2,14,9,400,,,,8,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=2 txRnti=14 sender_l2_id=14 receiver_l2_id=9 harq_id=8 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,member_to_leader,2,2,1
1178,0,PHY,PSSCH_DECODE_OK,4,21,12,400,,,,8,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=4 txRnti=21 sender_l2_id=21 receiver_l2_id=12 harq_id=8 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,member_to_leader,4,4,1
1180,0,PHY,PSSCH_DECODE_OK,3,5,16,400,,,,8,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=3 txRnti=5 sender_l2_id=5 receiver_l2_id=16 harq_id=8 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,member_to_leader,3,3,1
1270,0,PHY,PSSCH_DECODE_OK,9,3,1,400,,,,9,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=9 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=9 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,leader_to_rsu,9,9,1
1272,0,PHY,PSSCH_DECODE_OK,3,5,16,400,,,,9,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=3 txRnti=5 sender_l2_id=5 receiver_l2_id=16 harq_id=9 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,member_to_leader,3,3,1
1274,0,PHY,PSSCH_DECODE_OK,1,14,17,400,,,,9,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=1 txRnti=14 sender_l2_id=14 receiver_l2_id=17 harq_id=9 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000060,,member_to_leader,1,1,1
