timestamp,agent_count,area_count,group_count,delta_g,total_group_load,greedy_max_load,optimal_max_load,absolute_gap,relative_gap,greedy_loads,optimal_loads,greedy_assignments,optimal_assignments
000064,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000064,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000066,5,3,3,0.050000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000066,5,3,3,0.075000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000066,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000066,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000068,5,3,3,0.050000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000068,5,3,3,0.075000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000068,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000068,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
