scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000060,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;8;11,8;11,"{""8"": 14, ""11"": 34}","{""1"": 13948, ""8"": 292, ""11"": 734}",16416,6.531701890989989,10,40.0,60.0,68.0,850000,111584,111584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],8>1:9;11>1:0,,31,51,
2026_07_29_02_32_08,000060,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 33}","{""9"": 365, ""10"": 14073}",5840,3.2480533926585093,10,40.0,60.0,68.0,850000,111584,111584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,20,40,
2026_07_29_02_32_08,000060,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12;7,7,"{""7"": 33}","{""7"": 948, ""12"": 13881}",15168,8.43604004449388,10,40.0,60.0,68.0,850000,111584,111584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,26,47,
2026_07_29_02_32_08,000060,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 51, ""19"": 25}","{""13"": 13569, ""14"": 1768, ""19"": 301}",33104,15.733036707452724,10,40.0,60.0,68.0,850000,111584,111584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:8,,5,25,
2026_07_29_02_32_08,000060,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15;6,6,"{""6"": 38}","{""6"": 880, ""15"": 13458}",14080,7.830923248053392,10,40.0,60.0,68.0,850000,111584,111584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,16,21,
2026_07_29_02_32_08,000060,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16;5,5,"{""5"": 32}","{""5"": 540, ""16"": 13819}",8640,4.805339265850946,10,40.0,60.0,68.0,850000,111584,111584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],5>16:5,,22,36,
2026_07_29_02_32_08,000060,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17;3;18,3;18,"{""3"": 17, ""18"": 37}","{""3"": 375, ""17"": 14142, ""18"": 771}",18336,6.860956618464961,10,40.0,60.0,68.0,850000,111584,111584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:6,,11,20,
2026_07_29_02_32_08,000062,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2;11,2;11,"{""2"": 22, ""11"": 34}","{""1"": 13948, ""2"": 315, ""11"": 634}",15184,5.641824249165739,10,40.0,60.0,68.0,850000,111632,111632,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:9;11>1:0,,26,48,
2026_07_29_02_32_08,000062,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 33}","{""9"": 357, ""10"": 14074}",5712,3.1768631813125694,10,40.0,60.0,68.0,850000,111632,111632,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,23,38,
2026_07_29_02_32_08,000062,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12;7,7,"{""7"": 33}","{""7"": 948, ""12"": 13882}",15168,8.43604004449388,10,40.0,60.0,68.0,850000,111632,111632,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,29,48,
2026_07_29_02_32_08,000062,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 56, ""19"": 26}","{""13"": 13569, ""14"": 1791, ""19"": 306}",33552,15.937708565072302,10,40.0,60.0,68.0,850000,111632,111632,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:8,,5,25,
2026_07_29_02_32_08,000062,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15;6,6,"{""6"": 41}","{""6"": 845, ""15"": 13488}",13520,7.519466073414905,10,40.0,60.0,68.0,850000,111632,111632,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,16,21,
2026_07_29_02_32_08,000062,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16;5,5,"{""5"": 30}","{""5"": 557, ""16"": 13788}",8912,4.9566184649610685,10,40.0,60.0,68.0,850000,111632,111632,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],5>16:5,,20,36,
2026_07_29_02_32_08,000062,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17;3;18,3;18,"{""3"": 19, ""18"": 38}","{""3"": 417, ""17"": 14128, ""18"": 807}",19584,7.18131256952169,10,40.0,60.0,68.0,850000,111632,111632,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:6,,11,21,
2026_07_29_02_32_08,000064,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2;11,2;11,"{""2"": 22, ""11"": 34}","{""1"": 13948, ""2"": 308, ""11"": 636}",15104,5.659621802002224,10,40.0,60.0,68.0,850000,111984,111984,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:9;11>1:0,,30,48,
2026_07_29_02_32_08,000064,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 33}","{""9"": 357, ""10"": 14075}",5712,3.1768631813125694,10,40.0,60.0,68.0,850000,111984,111984,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,25,40,
2026_07_29_02_32_08,000064,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12;7,7,"{""7"": 34}","{""7"": 981, ""12"": 13868}",15696,8.729699666295884,10,40.0,60.0,68.0,850000,111984,111984,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,23,49,
2026_07_29_02_32_08,000064,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 54, ""19"": 25}","{""13"": 13570, ""14"": 1813, ""19"": 271}",33344,16.133481646273637,10,40.0,60.0,68.0,850000,111984,111984,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:8,,3,26,
2026_07_29_02_32_08,000064,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15;6,6,"{""6"": 38}","{""6"": 863, ""15"": 13466}",13808,7.6796440489432705,10,40.0,60.0,68.0,850000,111984,111984,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,18,21,
2026_07_29_02_32_08,000064,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16;5,5,"{""5"": 31}","{""5"": 562, ""16"": 13804}",8992,5.00111234705228,10,40.0,60.0,68.0,850000,111984,111984,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],5>16:5,,17,37,
2026_07_29_02_32_08,000064,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17;3;18,3;18,"{""3"": 23, ""18"": 37}","{""3"": 414, ""17"": 14138, ""18"": 794}",19328,7.065628476084538,10,40.0,60.0,68.0,850000,111984,111984,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:6,,8,21,
2026_07_29_02_32_08,000066,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2;11,2;11,"{""2"": 22, ""11"": 37}","{""1"": 13953, ""2"": 316, ""11"": 675}",15856,6.006674082313682,10,40.0,60.0,68.0,850000,113360,113360,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:9;11>1:0,,27,48,
2026_07_29_02_32_08,000066,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 34}","{""9"": 359, ""10"": 14050}",5744,3.1946607341490547,10,40.0,60.0,68.0,850000,113360,113360,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,26,39,
2026_07_29_02_32_08,000066,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12;7,7,"{""7"": 34}","{""7"": 973, ""12"": 13863}",15568,8.658509454949945,10,40.0,60.0,68.0,850000,113360,113360,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,24,47,
2026_07_29_02_32_08,000066,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 57, ""19"": 26}","{""13"": 13570, ""14"": 1844, ""19"": 288}",34112,16.409343715239157,10,40.0,60.0,68.0,850000,113360,113360,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:8,,4,26,
2026_07_29_02_32_08,000066,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15;6,6,"{""6"": 39}","{""6"": 862, ""15"": 13477}",13792,7.6707452725250285,10,40.0,60.0,68.0,850000,113360,113360,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,19,20,
2026_07_29_02_32_08,000066,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16;5,5,"{""5"": 31}","{""5"": 564, ""16"": 13800}",9024,5.018909899888765,10,40.0,60.0,68.0,850000,113360,113360,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],5>16:5,,20,37,
2026_07_29_02_32_08,000066,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17;3;18,3;18,"{""3"": 23, ""18"": 36}","{""3"": 402, ""17"": 14142, ""18"": 802}",19264,7.136818687430479,10,40.0,60.0,68.0,850000,113360,113360,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:6,,11,21,
2026_07_29_02_32_08,000068,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2;11,2;11,"{""2"": 22, ""11"": 37}","{""1"": 13961, ""2"": 320, ""11"": 665}",15760,5.917686318131257,10,40.0,60.0,68.0,850000,113584,113584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:9;11>1:0,,29,48,
2026_07_29_02_32_08,000068,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 33}","{""9"": 350, ""10"": 14059}",5600,3.114571746384872,10,40.0,60.0,68.0,850000,113584,113584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,23,38,
2026_07_29_02_32_08,000068,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12;7,7,"{""7"": 34}","{""7"": 967, ""12"": 13886}",15472,8.60511679644049,10,40.0,60.0,68.0,850000,113584,113584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,25,47,
2026_07_29_02_32_08,000068,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 56, ""19"": 24}","{""13"": 13572, ""14"": 1849, ""19"": 273}",33952,16.453837597330367,10,40.0,60.0,68.0,850000,113584,113584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:8,,6,25,
2026_07_29_02_32_08,000068,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15;6,6,"{""6"": 42}","{""6"": 879, ""15"": 13482}",14064,7.8220244716351495,10,40.0,60.0,68.0,850000,113584,113584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,19,20,
2026_07_29_02_32_08,000068,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16;5,5,"{""5"": 33}","{""5"": 562, ""16"": 13828}",8992,5.00111234705228,10,40.0,60.0,68.0,850000,113584,113584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],5>16:5,,17,37,
2026_07_29_02_32_08,000068,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17;3;18,3;18,"{""3"": 22, ""18"": 36}","{""3"": 390, ""17"": 14134, ""18"": 844}",19744,7.510567296996663,10,40.0,60.0,68.0,850000,113584,113584,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:6,,8,20,
2026_07_29_02_32_08,000070,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2;11,2;11,"{""2"": 21, ""11"": 36}","{""1"": 13972, ""2"": 322, ""11"": 625}",15152,5.561735261401558,10,40.0,60.0,68.0,850000,112384,112384,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:9;11>1:0,,27,48,
2026_07_29_02_32_08,000070,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 33}","{""9"": 353, ""10"": 14027}",5648,3.1412680756395996,10,40.0,60.0,68.0,850000,112384,112384,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,26,38,
2026_07_29_02_32_08,000070,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12;7,7,"{""7"": 34}","{""7"": 977, ""12"": 13891}",15632,8.694104560622915,10,40.0,60.0,68.0,850000,112384,112384,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,20,48,
2026_07_29_02_32_08,000070,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 55, ""19"": 23}","{""13"": 13574, ""14"": 1831, ""19"": 270}",33616,16.293659621802,10,40.0,60.0,68.0,850000,112384,112384,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:8,,6,25,
2026_07_29_02_32_08,000070,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15;6,6,"{""6"": 41}","{""6"": 868, ""15"": 13489}",13888,7.724137931034483,10,40.0,60.0,68.0,850000,112384,112384,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,18,20,
2026_07_29_02_32_08,000070,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16;5,5,"{""5"": 34}","{""5"": 582, ""16"": 13833}",9312,5.17908787541713,10,40.0,60.0,68.0,850000,112384,112384,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],5>16:5,,18,37,
2026_07_29_02_32_08,000070,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17;3;18,3;18,"{""3"": 22, ""18"": 38}","{""3"": 333, ""17"": 14129, ""18"": 863}",19136,7.6796440489432705,10,40.0,60.0,68.0,850000,112384,112384,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:6,,9,20,
2026_07_29_02_32_08,000072,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2;11,2;11,"{""2"": 21, ""11"": 37}","{""1"": 13979, ""2"": 316, ""11"": 604}",14720,5.374860956618464,10,40.0,60.0,68.0,850000,114160,114160,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:9;11>1:0,,30,49,
2026_07_29_02_32_08,000072,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 35}","{""9"": 359, ""10"": 14033}",5744,3.1946607341490547,10,40.0,60.0,68.0,850000,114160,114160,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,25,39,
2026_07_29_02_32_08,000072,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12;7,7,"{""7"": 35}","{""7"": 973, ""12"": 13906}",15568,8.658509454949945,10,40.0,60.0,68.0,850000,114160,114160,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,23,46,
2026_07_29_02_32_08,000072,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 59, ""19"": 24}","{""13"": 13566, ""14"": 1865, ""19"": 270}",34160,16.596218020022246,10,40.0,60.0,68.0,850000,114160,114160,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:8,,6,26,
2026_07_29_02_32_08,000072,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15;6,6,"{""6"": 39}","{""6"": 908, ""15"": 13501}",14528,8.080088987764181,10,40.0,60.0,68.0,850000,114160,114160,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,18,20,
2026_07_29_02_32_08,000072,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16;5,5,"{""5"": 33}","{""5"": 607, ""16"": 13827}",9712,5.401557285873193,10,40.0,60.0,68.0,850000,114160,114160,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],5>16:5,,20,37,
2026_07_29_02_32_08,000072,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17;3;18,3;18,"{""3"": 20, ""18"": 38}","{""3"": 329, ""17"": 14140, ""18"": 904}",19728,8.044493882091212,10,40.0,60.0,68.0,850000,114160,114160,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:6,,9,20,
2026_07_29_02_32_08,000074,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;2;11,2;11,"{""2"": 20, ""11"": 35}","{""1"": 13979, ""2"": 319, ""11"": 621}",15040,5.526140155728588,10,40.0,60.0,68.0,850000,114928,114928,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:9;11>1:0,,32,50,
2026_07_29_02_32_08,000074,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 35}","{""9"": 348, ""10"": 14016}",5568,3.096774193548387,10,40.0,60.0,68.0,850000,114928,114928,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,21,37,
2026_07_29_02_32_08,000074,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12;7,7,"{""7"": 36}","{""7"": 951, ""12"": 13902}",15216,8.46273637374861,10,40.0,60.0,68.0,850000,114928,114928,0.5,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,27,43,
