line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
299,1,TX,2,5,2,1,52,0,0,2083,1,0,0,,,000062,,leader_to_rsu,52,52,1
300,1,TX,4,5,4,1,50,0,0,2083,0,0,0,,,000062,,leader_to_rsu,50,50,1
301,1,TX,5,5,5,16,64,0,1,4069,0,0,0,,,000062,,member_to_leader,64,64,1
302,1,TX,14,5,14,9,70,0,1,4069,1,0,0,,,000062,,member_to_leader,70,70,1
303,1,TX,16,5,16,5,60,0,0,3494,0,0,0,,,000062,,member_to_leader,60,60,1
304,1,TX,5,5,5,1,61,0,0,2083,1,0,0,,,000062,,leader_to_rsu,61,61,1
305,1,TX,14,5,14,9,70,1,3,4069,4,0,0,,,000062,,member_to_leader,70,70,1
306,1,TX,17,5,17,1,48,0,0,2083,0,0,0,,,000062,,leader_to_rsu,48,48,1
307,1,TX,19,5,19,16,91,0,0,2083,0,0,0,,,000062,,member_to_leader,91,91,1
369,1,TX,3,5,3,21,53,0,0,2307,1,0,0,,,000062,,member_to_leader,53,53,1
370,1,TX,9,5,9,1,71,0,0,2083,0,0,0,,,000062,,leader_to_rsu,71,71,1
371,1,TX,13,5,13,1,51,0,0,2083,0,0,0,,,000062,,leader_to_rsu,51,51,1
372,1,TX,14,5,14,19,56,0,0,867,3,0,0,,,000062,,member_to_leader,56,56,1
481,1,RX,1,5,2,1,52,0,0,2083,,,,,,000062,,leader_to_rsu,52,52,1
491,1,TX,5,5,5,1,68,1,0,2083,3,0,0,,,000062,,leader_to_rsu,68,68,1
492,1,TX,14,5,14,1,78,0,0,2083,0,0,0,,,000062,,leader_to_rsu,78,78,1
493,1,TX,20,5,20,1,59,0,0,2083,0,0,0,,,000062,,leader_to_rsu,59,59,1
596,1,RX,9,5,14,9,70,0,1,4069,,,,,,000062,,member_to_leader,70,70,1
